,T1,T2,direction,effect size,prevalence_T1,prevalence_T2,pval_naive,pval_bh,pval_by,pval_bonf
221,Zorya_TypeII,Shango,1,0.16029932897076282,0.05993392234018858,0.07097780087608582,0.3644095128389523,0.5,1.0,1.0
271,Druantia_III,DS-28,1,0.15952370576084612,0.1011953374415324,0.09334397505382731,0.34993688732460326,0.5,1.0,1.0
484,Shango,RM_Type_IIG_2,1,0.15906160975907394,0.07097780087608582,0.0657621204246789,0.3567902478684986,0.5,1.0,1.0
77,RM_Type_IV,RloC,1,0.15500376423107132,0.5162781201277007,0.05859752023164303,0.30663075383472604,0.5,1.0,1.0
51,RM_Type_I,Shango,1,0.1541738334426393,0.6987155690845646,0.07097780087608582,0.29717846842052653,0.5,1.0,1.0
722,Mokosh_Type_I_A,RM_Type_IIG_2,-1,0.14765815241352265,0.052193926794862275,0.0657621204246789,0.37418036811601474,0.5,1.0,1.0
185,RloC,Mokosh_TypeII,1,0.1470498826656568,0.05859752023164303,0.19156953003192517,0.32921808658909635,0.5,1.0,1.0
370,Mokosh_TypeII,RM_Type_III,1,0.1463466480440751,0.19156953003192517,0.1276449625064964,0.3043013287554461,0.5,1.0,1.0
670,SanaTA,DS-28,1,0.1449168180813907,0.2112257777117826,0.09334397505382731,0.363078385175537,0.5,1.0,1.0
359,RosmerTA,RM_Type_IIG_2,-1,0.1422450442740151,0.10141807112629,0.0657621204246789,0.37156160089852963,0.5,1.0,1.0
350,RosmerTA,SanaTA,-1,0.13974248210975415,0.10141807112629,0.2112257777117826,0.37113930543290213,0.5,1.0,1.0
305,PrrC,PD-T7-4,-1,0.1390415528853146,0.19463211819734205,0.046235800727596706,0.34271596907522556,0.5,1.0,1.0
458,Mok_Hok_Sok,Mokosh_Type_I_A,1,0.1383859438289903,0.6015851213898582,0.052193926794862275,0.30582718899625994,0.5,1.0,1.0
267,Druantia_III,DS-17,-1,0.13601493687505078,0.1011953374415324,0.10913950553121984,0.398631410914561,0.5,1.0,1.0
75,RM_Type_IV,Kiwa,1,0.1335644833408469,0.5162781201277007,0.06940010394238622,0.320764224851967,0.5,1.0,1.0
449,Mok_Hok_Sok,BstA,-1,0.13289808686533028,0.6015851213898582,0.04382285247605613,0.33013464659443176,0.5,1.0,1.0
114,Kiwa,Druantia_III,-1,0.13288027139561281,0.06940010394238622,0.1011953374415324,0.3605327911421947,0.5,1.0,1.0
502,Hachiman,SDIC3,-1,0.13032048839155125,0.05739104610587274,0.19253470933254138,0.3378309214613002,0.5,1.0,1.0
173,CBASS_I,Mokosh_Type_I_A,-1,0.12938122773446764,0.19114262380280644,0.052193926794862275,0.3418870547524089,0.5,1.0,1.0
336,RosmerTA,PD-T4-3,1,0.128867067730081,0.10141807112629,0.17644220060880542,0.33774721807434116,0.5,1.0,1.0
130,Kiwa,BstA,-1,0.1279403379898562,0.06940010394238622,0.04382285247605613,0.3679711234824781,0.5,1.0,1.0
690,RM_Type_IV_1,Lamassu-Mrr,-1,0.12759211313961727,0.23470562031331205,0.16294825154057466,0.4061860850160589,0.5,1.0,1.0
590,Gao_Tmn,AbiE,-1,0.1275033013770889,0.10472195411686094,0.18371816764422005,0.3920239517679319,0.5,1.0,1.0
20,RM_Type_II,Gao_Tmn,-1,0.12735482487949637,0.48999554532630485,0.10472195411686094,0.30826122725827587,0.5,1.0,1.0
238,Zorya_TypeII,Mokosh_Type_I_A,-1,0.12735038642483124,0.05993392234018858,0.052193926794862275,0.38376065142176524,0.5,1.0,1.0
201,RloC,PsyrTA,-1,0.12645070794093494,0.05859752023164303,0.3939973271957829,0.39885820106538955,0.5,1.0,1.0
115,Kiwa,PrrC,1,0.12572680606315662,0.06940010394238622,0.19463211819734205,0.31905620062555595,0.5,1.0,1.0
109,RM_Type_IV,DS-1,1,0.12531549119037766,0.5162781201277007,0.05306630039349618,0.3647824998255983,0.5,1.0,1.0
53,RM_Type_I,PD-Lambda-1,-1,0.12340707633790177,0.6987155690845646,0.08623505828198084,0.34158439123153506,0.5,1.0,1.0
266,Druantia_III,RnlAB,1,0.12309166461407005,0.1011953374415324,0.03732645333729304,0.4073223078876608,0.5,1.0,1.0
39,RM_Type_I,Kiwa,1,0.12305736412741605,0.6987155690845646,0.06940010394238622,0.33338441616377906,0.5,1.0,1.0
341,RosmerTA,PD-Lambda-1,-1,0.1226904716185255,0.10141807112629,0.08623505828198084,0.3576861626005655,0.5,1.0,1.0
388,Mokosh_TypeII,DS-1,1,0.12131074642736572,0.19156953003192517,0.05306630039349618,0.3731391111167183,0.5,1.0,1.0
135,Kiwa,RM_Type_IV_1,1,0.12104592902078129,0.06940010394238622,0.23470562031331205,0.38979037311760356,0.5,1.0,1.0
137,Kiwa,DS-17,1,0.11903932992749194,0.06940010394238622,0.10913950553121984,0.38930059398711414,0.5,1.0,1.0
672,SanaTA,Ogmios,-1,0.11829685527137695,0.2112257777117826,0.0832095923973569,0.3768258952776268,0.5,1.0,1.0
123,Kiwa,Hachiman,1,0.1173016578916889,0.06940010394238622,0.05739104610587274,0.38662100121442516,0.5,1.0,1.0
445,Mok_Hok_Sok,RM_Type_III,-1,0.11637599331519108,0.6015851213898582,0.1276449625064964,0.30181523136195487,0.5,1.0,1.0
469,Shango,Retron_I_C,1,0.11383435348322413,0.07097780087608582,0.13601603682530256,0.41088059971990365,0.5,1.0,1.0
316,MazEF,Retron_I_C,1,0.11183108417387766,0.8877793451629669,0.13601603682530256,0.4191059688646415,0.5,1.0,1.0
479,Shango,DS-17,-1,0.11053124824062005,0.07097780087608582,0.10913950553121984,0.40042073168449555,0.5,1.0,1.0
37,RM_Type_II,PD-T7-4,-1,0.11039088792081617,0.48999554532630485,0.046235800727596706,0.3741723407379661,0.5,1.0,1.0
205,RloC,SDIC3,1,0.10892021223503749,0.05859752023164303,0.19253470933254138,0.3579646356958345,0.5,1.0,1.0
292,PrrC,CAS_Class1-Subtype-I-E,1,0.10878015594741561,0.19463211819734205,0.5630521939267948,0.3543979210551438,0.5,1.0,1.0
282,PrrC,Shango,1,0.10831778843360806,0.19463211819734205,0.07097780087608582,0.34601349058946956,0.5,1.0,1.0
723,Mokosh_Type_I_A,Ogmios,1,0.10736596871371767,0.052193926794862275,0.0832095923973569,0.37944452442699217,0.5,1.0,1.0
728,Lamassu-Mrr,Ogmios,1,0.10673392857317474,0.16294825154057466,0.0832095923973569,0.40456539909058364,0.5,1.0,1.0
30,RM_Type_II,SDIC3,-1,0.1045056001419986,0.48999554532630485,0.19253470933254138,0.3201303230579334,0.5,1.0,1.0
524,PD-Lambda-1,Mokosh_Type_I_A,-1,0.1044009797896333,0.08623505828198084,0.052193926794862275,0.371577472739242,0.5,1.0,1.0
462,Mok_Hok_Sok,Ogmios,-1,0.101065981609083,0.6015851213898582,0.0832095923973569,0.34627401801012114,0.5,1.0,1.0
117,Kiwa,RosmerTA,-1,0.09998516956441174,0.06940010394238622,0.10141807112629,0.3814534441914127,0.5,1.0,1.0
457,Mok_Hok_Sok,SDIC3,-1,0.09702753260230984,0.6015851213898582,0.19253470933254138,0.31602534454790465,0.5,1.0,1.0
299,PrrC,Mokosh_Type_I_A,1,0.09537277059501473,0.19463211819734205,0.052193926794862275,0.3803351791482922,0.5,1.0,1.0
279,PrrC,PD-T4-3,-1,0.09491244726742193,0.19463211819734205,0.17644220060880542,0.3425480077964741,0.5,1.0,1.0
204,RloC,DS-17,-1,0.09417986473638318,0.05859752023164303,0.10913950553121984,0.4119827173594294,0.5,1.0,1.0
460,Mok_Hok_Sok,DS-28,1,0.0917529649150427,0.6015851213898582,0.09334397505382731,0.3590985649667219,0.5,1.0,1.0
283,PrrC,Hachiman,-1,0.09172850561107049,0.19463211819734205,0.05739104610587274,0.3757556535856825,0.5,1.0,1.0
463,Mok_Hok_Sok,DS-1,-1,0.08695600375288728,0.6015851213898582,0.05306630039349618,0.3672383668485045,0.5,1.0,1.0
